20131104,al.SHFE,al1401.SHFE,20
20131108,al.SHFE,al1402.SHFE,-5
20131111,al.SHFE,al1401.SHFE,55
20131120,al.SHFE,al1402.SHFE,-20
20131121,al.SHFE,al1403.SHFE,-10
20131122,al.SHFE,al1402.SHFE,30
20131213,al.SHFE,al1404.SHFE,-95
20131217,al.SHFE,al1402.SHFE,130
20131220,al.SHFE,al1403.SHFE,-35
20131231,al.SHFE,al1404.SHFE,-45
20140102,al.SHFE,al1403.SHFE,45
20140103,al.SHFE,al1404.SHFE,-20
20140107,al.SHFE,al1403.SHFE,15
20140108,al.SHFE,al1404.SHFE,-25
20140117,al.SHFE,al1403.SHFE,-35
20140121,al.SHFE,al1404.SHFE,35
20140128,al.SHFE,al1405.SHFE,20
20140129,al.SHFE,al1404.SHFE,-45
20140220,al.SHFE,al1405.SHFE,55
20140221,al.SHFE,al1404.SHFE,-55
20140224,al.SHFE,al1405.SHFE,50
20140225,al.SHFE,al1404.SHFE,-55
20140226,al.SHFE,al1405.SHFE,50
20140310,al.SHFE,al1406.SHFE,50
20140417,al.SHFE,al1407.SHFE,70
20140422,al.SHFE,al1406.SHFE,-50
20140423,al.SHFE,al1407.SHFE,40
20140521,al.SHFE,al1408.SHFE,40
20140522,al.SHFE,al1407.SHFE,-15
20140523,al.SHFE,al1408.SHFE,40
20140626,al.SHFE,al1409.SHFE,80
20140716,al.SHFE,al1412.SHFE,80
20140717,al.SHFE,al1409.SHFE,-75
20140725,al.SHFE,al1410.SHFE,20
20140829,al.SHFE,al1411.SHFE,40
20140930,al.SHFE,al1412.SHFE,-5
20141023,al.SHFE,al1501.SHFE,70
20141201,al.SHFE,al1502.SHFE,55
20141218,al.SHFE,al1503.SHFE,75
20150126,al.SHFE,al1504.SHFE,55
20150128,al.SHFE,al1503.SHFE,-70
20150129,al.SHFE,al1504.SHFE,65
20150227,al.SHFE,al1505.SHFE,40
20150320,al.SHFE,al1506.SHFE,-5
20150421,al.SHFE,al1507.SHFE,30
20150424,al.SHFE,al1506.SHFE,-20
20150427,al.SHFE,al1507.SHFE,15
20150520,al.SHFE,al1508.SHFE,45
20150525,al.SHFE,al1507.SHFE,-55
20150527,al.SHFE,al1508.SHFE,40
20150623,al.SHFE,al1509.SHFE,50
20150722,al.SHFE,al1510.SHFE,25
20150828,al.SHFE,al1511.SHFE,5
20150923,al.SHFE,al1512.SHFE,20
20151021,al.SHFE,al1601.SHFE,10
20151201,al.SHFE,al1602.SHFE,-110
20151225,al.SHFE,al1603.SHFE,-45
20160201,al.SHFE,al1604.SHFE,30
20160301,al.SHFE,al1605.SHFE,45
20160405,al.SHFE,al1606.SHFE,-20
20160503,al.SHFE,al1607.SHFE,-10
20160602,al.SHFE,al1608.SHFE,-165
20160701,al.SHFE,al1609.SHFE,-190
20160802,al.SHFE,al1610.SHFE,-75
20160902,al.SHFE,al1611.SHFE,-90
20161011,al.SHFE,al1612.SHFE,-280
20161102,al.SHFE,al1701.SHFE,-330
20161202,al.SHFE,al1702.SHFE,-140
20170104,al.SHFE,al1703.SHFE,30
20170210,al.SHFE,al1704.SHFE,80
